# Voodoo Trace - Frame 49
# Format: <CMD> <timestamp> <addr> [register_name] <data> [(float_value)] [xN]
# Fixed-point formats: S12.4 (vertices), S18.14 (RGBA), S20.12 (Z), S14.18 (S/T), S2.30 (W)
#
RREG_L               54 0x000000 status           0x1f89b3bf
WREG_L           522779 0x2000f4 fstartW          0x3a7788a9 (0.000944)
WTEX_L           522813 0xe20000 0x00000000
WREG_L           522854 0x0000b0 fstartA          0x00000000
WREG_L           522854 0x0000d0 fdAdX            0xc37f0000
WREG_L           522854 0x0000f0 fdAdY            0x433a14c2
WREG_L           522953 0x000080 triangleCMD      0xc0140000
WREG_L           522988 0x000088 fvertexAx        0x49400db2
WREG_L           522988 0x000090 fvertexBx        0x49400dcd
WREG_L           522988 0x000094 fvertexBy        0x49401073
WREG_L           523074 0x2000a0 fstartR          0x42c9280c (100.578217)
WREG_L           523108 0x2000ac fstartG          0x42c9280c (100.578217)
WREG_L           523142 0x2000b8 fstartB          0x42c9280c (100.578217)
WREG_L           523176 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           523210 0x2000dc fstartS          0x3db3fcc1 (0.087884)
WREG_L           523244 0x2000e8 fstartT          0x3da7d71e (0.081953)
WREG_L           523278 0x2000f4 fstartW          0x3a7788a9 (0.000944)
WTEX_L           523312 0xe20000 0x00000000
WREG_L           523353 0x0000d0 fdAdX            0xc37f0000
WREG_L           523353 0x0000f0 fdAdY            0x433a14c2
WREG_L           523353 0x000080 triangleCMD      0xc0140000
WREG_L           523466 0x000110 fbzMode          0x000b4779
WREG_L           523826 0x00010c alphaMode        0x00045110
WREG_L           523956 0x200088 fvertexAx        0x49400d8e (786648.875000)
WREG_L           524031 0x20008c fvertexAy        0x49401029 (786690.562500)
WREG_L           524031 0x200090 fvertexBx        0x49400d36 (786643.375000)
WREG_L           524031 0x200094 fvertexBy        0x49401113 (786705.187500)
WREG_L           524031 0x200098 fvertexCx        0x49400d5c (786645.750000)
WREG_L           524031 0x20009c fvertexCy        0x49401138 (786707.500000)
WREG_L           524088 0x2000a0 fstartR          0x42f7c74f (123.889275)
WREG_L           524110 0x2000a4 fdRdX            0xc0ee1e5d (-7.441206)
WREG_L           524110 0x2000a8 fdRdY            0xc0122509 (-2.283510)
WREG_L           524135 0x2000ac fstartG          0x42f7c74f (123.889275)
WREG_L           524157 0x2000b0 fdGdX            0xc0ee1e5d (-7.441206)
WREG_L           524157 0x2000b4 fdGdY            0xc0122509 (-2.283510)
WREG_L           524182 0x2000b8 fstartB          0x42f7c74f (123.889275)
WREG_L           524204 0x2000bc fdBdX            0xc0ee1e5d (-7.441206)
WREG_L           524204 0x2000c0 fdBdY            0xc0122509 (-2.283510)
WREG_L           524229 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           524272 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L           524272 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L           524297 0x2000dc fstartS          0x3da3ce4e (0.079983)
WREG_L           524319 0x2000e0 fdSdX            0x3b1cb019 (0.002391)
WREG_L           524319 0x2000e4 fdSdY            0x3a89d7cd (0.001052)
WREG_L           524344 0x2000e8 fstartT          0x3db34b36 (0.087546)
WREG_L           524366 0x2000ec fdTdX            0xbaf83c25 (-0.001894)
WREG_L           524366 0x2000f0 fdTdY            0xba0ef100 (-0.000545)
WREG_L           524391 0x2000f4 fstartW          0x3a78a3c5 (0.000948)
WREG_L           524413 0x2000f8 fdWdX            0xb632afa9 (-0.000003)
WREG_L           524413 0x2000fc fdWdY            0x3558be99 (0.000001)
WTEX_L           524441 0xe20000 0x00000000
WREG_L           524479 0x200100 ftriangleCMD     0xc23dd000
WREG_L           524526 0x000110 fbzMode          0x000b4379
WREG_L           524625 0x000088 fvertexAx        0x49400d36
WREG_L           524625 0x00008c fvertexAy        0x49401113
WREG_L           524625 0x000090 fvertexBx        0x49400d36
WREG_L           524625 0x000098 fvertexCx        0x49400d5c
WREG_L           524739 0x000094 fvertexBy        0x49401123
WREG_L           524739 0x00009c fvertexCy        0x49401148
WREG_L           524818 0x2000a0 fstartR          0x43036b69 (131.419571)
WREG_L           524852 0x2000ac fstartG          0x43036b69 (131.419571)
WREG_L           524886 0x2000b8 fstartB          0x43036b69 (131.419571)
WREG_L           524920 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           524954 0x2000dc fstartS          0x3da85fda (0.082214)
WREG_L           524988 0x2000e8 fstartT          0x3db84b58 (0.089987)
WREG_L           525022 0x2000f4 fstartW          0x3a7f9304 (0.000975)
WTEX_L           525056 0xe20000 0x00000000
WREG_L           525097 0x0000f0 fdAdY            0xc37f0000
WREG_L           525097 0x0000d0 fdAdX            0x43784a1b
WREG_L           525097 0x000080 triangleCMD      0xc0180000
WREG_L           525201 0x000090 fvertexBx        0x49400d5c
WREG_L           525201 0x000094 fvertexBy        0x49401138
WREG_L           525257 0x2000a0 fstartR          0x43036b69 (131.419571)
WREG_L           525291 0x2000ac fstartG          0x43036b69 (131.419571)
WREG_L           525325 0x2000b8 fstartB          0x43036b69 (131.419571)
WREG_L           525359 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           525393 0x2000dc fstartS          0x3da85fda (0.082214)
WREG_L           525427 0x2000e8 fstartT          0x3db84b58 (0.089987)
WREG_L           525461 0x2000f4 fstartW          0x3a7f9304 (0.000975)
WTEX_L           525495 0xe20000 0x00000000
WREG_L           525536 0x0000f0 fdAdY            0xc37f0000
WREG_L           525536 0x0000d0 fdAdX            0x43784a1b
WREG_L           525536 0x000080 triangleCMD      0x40180000
WREG_L           525656 0x000110 fbzMode          0x000b4779
WREG_L           526016 0x00010c alphaMode        0x00045110
WREG_L           526146 0x200088 fvertexAx        0x49400d8e (786648.875000)
WREG_L           526221 0x20008c fvertexAy        0x49401029 (786690.562500)
WREG_L           526221 0x200090 fvertexBx        0x49400db2 (786651.125000)
WREG_L           526221 0x200094 fvertexBy        0x4940104e (786692.875000)
WREG_L           526221 0x200098 fvertexCx        0x49400d5c (786645.750000)
WREG_L           526221 0x20009c fvertexCy        0x49401138 (786707.500000)
WREG_L           526278 0x2000a0 fstartR          0x42f7c74f (123.889275)
WREG_L           526300 0x2000a4 fdRdX            0xc0fd837c (-7.922300)
WREG_L           526300 0x2000a8 fdRdY            0xc017d353 (-2.372273)
WREG_L           526325 0x2000ac fstartG          0x42f7c74f (123.889275)
WREG_L           526347 0x2000b0 fdGdX            0xc0fd837c (-7.922300)
WREG_L           526347 0x2000b4 fdGdY            0xc017d353 (-2.372273)
WREG_L           526372 0x2000b8 fstartB          0x42f7c74f (123.889275)
WREG_L           526394 0x2000bc fdBdX            0xc0fd837c (-7.922300)
WREG_L           526394 0x2000c0 fdBdY            0xc017d353 (-2.372273)
WREG_L           526419 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           526462 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L           526462 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L           526487 0x2000dc fstartS          0x3da3ce4e (0.079983)
WREG_L           526509 0x2000e0 fdSdX            0x3b1ee23a (0.002424)
WREG_L           526509 0x2000e4 fdSdY            0x3a8aa73b (0.001058)
WREG_L           526534 0x2000e8 fstartT          0x3db34b36 (0.087546)
WREG_L           526556 0x2000ec fdTdX            0xbafbadd9 (-0.001920)
WREG_L           526556 0x2000f0 fdTdY            0xba10365a (-0.000550)
WREG_L           526581 0x2000f4 fstartW          0x3a78a3c5 (0.000948)
WREG_L           526603 0x2000f8 fdWdX            0xb63510fc (-0.000003)
WREG_L           526603 0x2000fc fdWdY            0x3556fce9 (0.000001)
WTEX_L           526631 0xe20000 0x00000000
WREG_L           526669 0x200100 ftriangleCMD     0x42355800
WREG_L           526716 0x000110 fbzMode          0x000b4379
WREG_L           526816 0x00008c fvertexAy        0x49401029
WREG_L           526816 0x000090 fvertexBx        0x49400d8e
WREG_L           526816 0x000094 fvertexBy        0x49401029
WREG_L           526816 0x00009c fvertexCy        0x4940104e
WREG_L           526930 0x000088 fvertexAx        0x49400d9e
WREG_L           526930 0x000098 fvertexCx        0x49400dc2
WREG_L           527004 0x2000a0 fstartR          0x42f7c74f (123.889275)
WREG_L           527038 0x2000ac fstartG          0x42f7c74f (123.889275)
WREG_L           527072 0x2000b8 fstartB          0x42f7c74f (123.889275)
WREG_L           527106 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           527140 0x2000dc fstartS          0x3da3ce4e (0.079983)
WREG_L           527174 0x2000e8 fstartT          0x3db34b36 (0.087546)
WREG_L           527208 0x2000f4 fstartW          0x3a78a3c5 (0.000948)
WTEX_L           527242 0xe20000 0x00000000
WREG_L           527283 0x0000b0 fstartA          0x00000000
WREG_L           527283 0x0000d0 fdAdX            0xc37f0000
WREG_L           527283 0x0000f0 fdAdY            0x43781bad
WREG_L           527382 0x000080 triangleCMD      0xc0140000
WREG_L           527417 0x000088 fvertexAx        0x49400d8e
WREG_L           527417 0x000090 fvertexBx        0x49400db2
WREG_L           527417 0x000094 fvertexBy        0x4940104e
WREG_L           527503 0x2000a0 fstartR          0x42f7c74f (123.889275)
WREG_L           527537 0x2000ac fstartG          0x42f7c74f (123.889275)
WREG_L           527571 0x2000b8 fstartB          0x42f7c74f (123.889275)
WREG_L           527605 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           527639 0x2000dc fstartS          0x3da3ce4e (0.079983)
WREG_L           527673 0x2000e8 fstartT          0x3db34b36 (0.087546)
WREG_L           527707 0x2000f4 fstartW          0x3a78a3c5 (0.000948)
WTEX_L           527741 0xe20000 0x00000000
WREG_L           527782 0x0000d0 fdAdX            0xc37f0000
WREG_L           527782 0x0000f0 fdAdY            0x43781bad
WREG_L           527782 0x000080 triangleCMD      0xc0140000
WREG_L           527895 0x000110 fbzMode          0x000b4779
WREG_L           528255 0x00010c alphaMode        0x00045110
WREG_L           528385 0x200088 fvertexAx        0x49400d5f (786645.937500)
WREG_L           528460 0x20008c fvertexAy        0x49401006 (786688.375000)
WREG_L           528460 0x200090 fvertexBx        0x49400d06 (786640.375000)
WREG_L           528460 0x200094 fvertexBy        0x494010f0 (786703.000000)
WREG_L           528460 0x200098 fvertexCx        0x49400d36 (786643.375000)
WREG_L           528460 0x20009c fvertexCy        0x49401113 (786705.187500)
WREG_L           528517 0x2000a0 fstartR          0x4311b19b (145.693771)
WREG_L           528539 0x2000a4 fdRdX            0xc0b80179 (-5.750180)
WREG_L           528539 0x2000a8 fdRdY            0xbfdcdb5d (-1.725444)
WREG_L           528564 0x2000ac fstartG          0x4311b19b (145.693771)
WREG_L           528586 0x2000b0 fdGdX            0xc0b80179 (-5.750180)
WREG_L           528586 0x2000b4 fdGdY            0xbfdcdb5d (-1.725444)
WREG_L           528611 0x2000b8 fstartB          0x4311b19b (145.693771)
WREG_L           528633 0x2000bc fdBdX            0xc0b80179 (-5.750180)
WREG_L           528633 0x2000c0 fdBdY            0xbfdcdb5d (-1.725444)
WREG_L           528658 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           528701 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L           528701 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L           528726 0x2000dc fstartS          0x3d90d566 (0.070720)
WREG_L           528748 0x2000e0 fdSdX            0x3b1da569 (0.002405)
WREG_L           528748 0x2000e4 fdSdY            0x3a89ab1b (0.001050)
WREG_L           528773 0x2000e8 fstartT          0x3dbbf89e (0.091783)
WREG_L           528795 0x2000ec fdTdX            0xbaa27a60 (-0.001240)
WREG_L           528795 0x2000f0 fdTdY            0xb99b0b34 (-0.000296)
WREG_L           528820 0x2000f4 fstartW          0x3a79a2bc (0.000952)
WREG_L           528842 0x2000f8 fdWdX            0xb60c2a47 (-0.000002)
WREG_L           528842 0x2000fc fdWdY            0x358a1fd7 (0.000001)
WTEX_L           528870 0xe20000 0x00000000
WREG_L           528908 0x200100 ftriangleCMD     0xc2602c00
WREG_L           528955 0x000110 fbzMode          0x000b4379
WREG_L           529054 0x000088 fvertexAx        0x49400d06
WREG_L           529054 0x00008c fvertexAy        0x494010f0
WREG_L           529054 0x000090 fvertexBx        0x49400d06
WREG_L           529054 0x000098 fvertexCx        0x49400d36
WREG_L           529168 0x000094 fvertexBy        0x49401100
WREG_L           529168 0x00009c fvertexCy        0x49401123
WREG_L           529247 0x2000a0 fstartR          0x431871cc (152.444519)
WREG_L           529281 0x2000ac fstartG          0x431871cc (152.444519)
WREG_L           529315 0x2000b8 fstartB          0x431871cc (152.444519)
WREG_L           529349 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           529383 0x2000dc fstartS          0x3d94e3bf (0.072700)
WREG_L           529417 0x2000e8 fstartT          0x3dc13c3d (0.094353)
WREG_L           529451 0x2000f4 fstartW          0x3a805038 (0.000979)
WTEX_L           529485 0xe20000 0x00000000
WREG_L           529526 0x0000f0 fdAdY            0xc37f0000
WREG_L           529526 0x0000d0 fdAdX            0x4339f000
WREG_L           529526 0x000080 triangleCMD      0xc0400000
WREG_L           529630 0x000090 fvertexBx        0x49400d36
WREG_L           529630 0x000094 fvertexBy        0x49401113
WREG_L           529686 0x2000a0 fstartR          0x431871cc (152.444519)
WREG_L           529720 0x2000ac fstartG          0x431871cc (152.444519)
WREG_L           529754 0x2000b8 fstartB          0x431871cc (152.444519)
WREG_L           529788 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           529822 0x2000dc fstartS          0x3d94e3bf (0.072700)
WREG_L           529856 0x2000e8 fstartT          0x3dc13c3d (0.094353)
WREG_L           529890 0x2000f4 fstartW          0x3a805038 (0.000979)
WTEX_L           529924 0xe20000 0x00000000
WREG_L           529965 0x0000f0 fdAdY            0xc37f0000
WREG_L           529965 0x0000d0 fdAdX            0x4339f000
WREG_L           529965 0x000080 triangleCMD      0x40400000
WREG_L           530085 0x000110 fbzMode          0x000b4779
WREG_L           530445 0x00010c alphaMode        0x00045110
WREG_L           530575 0x200088 fvertexAx        0x49400d5f (786645.937500)
WREG_L           530650 0x20008c fvertexAy        0x49401006 (786688.375000)
WREG_L           530650 0x200090 fvertexBx        0x49400d8e (786648.875000)
WREG_L           530650 0x200094 fvertexBy        0x49401029 (786690.562500)
WREG_L           530650 0x200098 fvertexCx        0x49400d36 (786643.375000)
WREG_L           530650 0x20009c fvertexCy        0x49401113 (786705.187500)
WREG_L           530707 0x2000a0 fstartR          0x4311b19b (145.693771)
WREG_L           530729 0x2000a4 fdRdX            0xc0c325ef (-6.098381)
WREG_L           530729 0x2000a8 fdRdY            0xbfe3a66a (-1.778516)
WREG_L           530754 0x2000ac fstartG          0x4311b19b (145.693771)
WREG_L           530776 0x2000b0 fdGdX            0xc0c325ef (-6.098381)
WREG_L           530776 0x2000b4 fdGdY            0xbfe3a66a (-1.778516)
WREG_L           530801 0x2000b8 fstartB          0x4311b19b (145.693771)
WREG_L           530823 0x2000bc fdBdX            0xc0c325ef (-6.098381)
WREG_L           530823 0x2000c0 fdBdY            0xbfe3a66a (-1.778516)
WREG_L           530848 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           530891 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L           530891 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L           530916 0x2000dc fstartS          0x3d90d566 (0.070720)
WREG_L           530938 0x2000e0 fdSdX            0x3b1ba501 (0.002375)
WREG_L           530938 0x2000e4 fdSdY            0x3a890ee9 (0.001046)
WREG_L           530963 0x2000e8 fstartT          0x3dbbf89e (0.091783)
WREG_L           530985 0x2000ec fdTdX            0xbaa06ca6 (-0.001224)
WREG_L           530985 0x2000f0 fdTdY            0xb999cab0 (-0.000293)
WREG_L           531010 0x2000f4 fstartW          0x3a79a2bc (0.000952)
WREG_L           531032 0x2000f8 fdWdX            0xb60a6c6b (-0.000002)
WREG_L           531032 0x2000fc fdWdY            0x358aa7c0 (0.000001)
WTEX_L           531060 0xe20000 0x00000000
WREG_L           531098 0x200100 ftriangleCMD     0x425bf800
WREG_L           531145 0x000110 fbzMode          0x000b4379
WREG_L           531247 0x000088 fvertexAx        0x49400d5f
WREG_L           531247 0x000090 fvertexBx        0x49400d5f
WREG_L           531247 0x000094 fvertexBy        0x49401006
WREG_L           531247 0x000098 fvertexCx        0x49400d8e
WREG_L           531363 0x00008c fvertexAy        0x49400ff6
WREG_L           531363 0x00009c fvertexCy        0x49401019
WREG_L           531436 0x2000a0 fstartR          0x4311b19b (145.693771)
WREG_L           531470 0x2000ac fstartG          0x4311b19b (145.693771)
WREG_L           531504 0x2000b8 fstartB          0x4311b19b (145.693771)
WREG_L           531538 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           531572 0x2000dc fstartS          0x3d90d566 (0.070720)
WREG_L           531606 0x2000e8 fstartT          0x3dbbf89e (0.091783)
WREG_L           531640 0x2000f4 fstartW          0x3a79a2bc (0.000952)
WTEX_L           531674 0xe20000 0x00000000
WREG_L           531715 0x0000b0 fstartA          0x00000000
WREG_L           531715 0x0000d0 fdAdX            0xc33de4c4
WREG_L           531715 0x0000f0 fdAdY            0x437f0000
WREG_L           531715 0x000080 triangleCMD      0xc03c0000
WREG_L           531853 0x00008c fvertexAy        0x49401006
WREG_L           531853 0x000090 fvertexBx        0x49400d8e
WREG_L           531853 0x000094 fvertexBy        0x49401019
WREG_L           531908 0x00009c fvertexCy        0x49401029
WREG_L           531949 0x2000a0 fstartR          0x4311b19b (145.693771)
WREG_L           531983 0x2000ac fstartG          0x4311b19b (145.693771)
WREG_L           532017 0x2000b8 fstartB          0x4311b19b (145.693771)
WREG_L           532051 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           532085 0x2000dc fstartS          0x3d90d566 (0.070720)
WREG_L           532119 0x2000e8 fstartT          0x3dbbf89e (0.091783)
WREG_L           532153 0x2000f4 fstartW          0x3a79a2bc (0.000952)
WTEX_L           532187 0xe20000 0x00000000
WREG_L           532228 0x0000f0 fdAdY            0x437f0000
WREG_L           532228 0x0000d0 fdAdX            0xc33de4c4
WREG_L           532228 0x000080 triangleCMD      0x403c0000
WREG_L           532341 0x000110 fbzMode          0x000b4779
WREG_L           532701 0x00010c alphaMode        0x00045110
WREG_L           532831 0x200088 fvertexAx        0x49400d27 (786642.437500)
WREG_L           532906 0x20008c fvertexAy        0x49400fe4 (786686.250000)
WREG_L           532906 0x200090 fvertexBx        0x49400ccb (786636.687500)
WREG_L           532906 0x200094 fvertexBy        0x494010ce (786700.875000)
WREG_L           532906 0x200098 fvertexCx        0x49400d06 (786640.375000)
WREG_L           532906 0x20009c fvertexCy        0x494010f0 (786703.000000)
WREG_L           532963 0x2000a0 fstartR          0x42ba70d9 (93.220406)
WREG_L           532985 0x2000a4 fdRdX            0x420f1509 (35.770542)
WREG_L           532985 0x2000a8 fdRdY            0x40fe175a (7.940351)
WREG_L           533010 0x2000ac fstartG          0x42ba70d9 (93.220406)
WREG_L           533032 0x2000b0 fdGdX            0x420f1509 (35.770542)
WREG_L           533032 0x2000b4 fdGdY            0x40fe175a (7.940351)
WREG_L           533057 0x2000b8 fstartB          0x42ba70d9 (93.220406)
WREG_L           533079 0x2000bc fdBdX            0x420f1509 (35.770542)
WREG_L           533079 0x2000c0 fdBdY            0x40fe175a (7.940351)
WREG_L           533104 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           533147 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L           533147 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L           533172 0x2000dc fstartS          0x3d765df1 (0.060148)
WREG_L           533194 0x2000e0 fdSdX            0x3b19d148 (0.002347)
WREG_L           533194 0x2000e4 fdSdY            0x3a8819d9 (0.001038)
WREG_L           533219 0x2000e8 fstartT          0x3dc1ad48 (0.094569)
WREG_L           533241 0x2000ec fdTdX            0xba3ced8d (-0.000721)
WREG_L           533241 0x2000f0 fdTdY            0xb8d51a7d (-0.000102)
WREG_L           533266 0x2000f4 fstartW          0x3a7a81b3 (0.000956)
WREG_L           533288 0x2000f8 fdWdX            0xb5dc01ce (-0.000002)
WREG_L           533288 0x2000fc fdWdY            0x359ffb99 (0.000001)
WTEX_L           533316 0xe20000 0x00000000
WREG_L           533354 0x200100 ftriangleCMD     0xc2844c00
WREG_L           533401 0x000110 fbzMode          0x000b4379
WREG_L           533500 0x000088 fvertexAx        0x49400ccb
WREG_L           533500 0x00008c fvertexAy        0x494010ce
WREG_L           533500 0x000090 fvertexBx        0x49400ccb
WREG_L           533500 0x000098 fvertexCx        0x49400d06
WREG_L           533614 0x000094 fvertexBy        0x494010de
WREG_L           533614 0x00009c fvertexCy        0x49401100
WREG_L           533693 0x2000a0 fstartR          0x406ab696 (3.667394)
WREG_L           533727 0x2000ac fstartG          0x406ab696 (3.667394)
WREG_L           533761 0x2000b8 fstartB          0x406ab696 (3.667394)
WREG_L           533795 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           533829 0x2000dc fstartS          0x3d7d4a8b (0.061839)
WREG_L           533863 0x2000e8 fstartT          0x3dc71ecb (0.097227)
WREG_L           533897 0x2000f4 fstartW          0x3a80c60c (0.000982)
WTEX_L           533931 0xe20000 0x00000000
WREG_L           533972 0x0000f0 fdAdY            0xc37f0000
WREG_L           533972 0x0000d0 fdAdX            0x4312f2fc
WREG_L           533972 0x000080 triangleCMD      0xc06c0000
WREG_L           534076 0x000090 fvertexBx        0x49400d06
WREG_L           534076 0x000094 fvertexBy        0x494010f0
WREG_L           534132 0x2000a0 fstartR          0x406ab696 (3.667394)
WREG_L           534166 0x2000ac fstartG          0x406ab696 (3.667394)
WREG_L           534200 0x2000b8 fstartB          0x406ab696 (3.667394)
WREG_L           534234 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           534268 0x2000dc fstartS          0x3d7d4a8b (0.061839)
WREG_L           534302 0x2000e8 fstartT          0x3dc71ecb (0.097227)
WREG_L           534336 0x2000f4 fstartW          0x3a80c60c (0.000982)
WTEX_L           534370 0xe20000 0x00000000
WREG_L           534411 0x0000f0 fdAdY            0xc37f0000
WREG_L           534411 0x0000d0 fdAdX            0x4312f2fc
WREG_L           534411 0x000080 triangleCMD      0x406c0000
WREG_L           534531 0x000110 fbzMode          0x000b4779
WREG_L           534891 0x00010c alphaMode        0x00045110
WREG_L           535021 0x200088 fvertexAx        0x49400d27 (786642.437500)
WREG_L           535096 0x20008c fvertexAy        0x49400fe4 (786686.250000)
WREG_L           535096 0x200090 fvertexBx        0x49400d5f (786645.937500)
WREG_L           535096 0x200094 fvertexBy        0x49401006 (786688.375000)
WREG_L           535096 0x200098 fvertexCx        0x49400d06 (786640.375000)
WREG_L           535096 0x20009c fvertexCy        0x494010f0 (786703.000000)
WREG_L           535153 0x2000a0 fstartR          0x42ba70d9 (93.220406)
WREG_L           535175 0x2000a4 fdRdX            0x413f3bee (11.952131)
WREG_L           535175 0x2000a8 fdRdY            0x40a03d53 (5.007486)
WREG_L           535200 0x2000ac fstartG          0x42ba70d9 (93.220406)
WREG_L           535222 0x2000b0 fdGdX            0x413f3bee (11.952131)
WREG_L           535222 0x2000b4 fdGdY            0x40a03d53 (5.007486)
WREG_L           535247 0x2000b8 fstartB          0x42ba70d9 (93.220406)
WREG_L           535269 0x2000bc fdBdX            0x413f3bee (11.952131)
WREG_L           535269 0x2000c0 fdBdY            0x40a03d53 (5.007486)
WREG_L           535294 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           535337 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L           535337 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L           535362 0x2000dc fstartS          0x3d765df1 (0.060148)
WREG_L           535384 0x2000e0 fdSdX            0x3b1c6e99 (0.002387)
WREG_L           535384 0x2000e4 fdSdY            0x3a88bead (0.001043)
WREG_L           535409 0x2000e8 fstartT          0x3dc1ad48 (0.094569)
WREG_L           535431 0x2000ec fdTdX            0xba403eca (-0.000733)
WREG_L           535431 0x2000f0 fdTdY            0xb8d85f0b (-0.000103)
WREG_L           535456 0x2000f4 fstartW          0x3a7a81b3 (0.000956)
WREG_L           535478 0x2000f8 fdWdX            0xb5e039bc (-0.000002)
WREG_L           535478 0x2000fc fdWdY            0x359f769f (0.000001)
WTEX_L           535506 0xe20000 0x00000000
WREG_L           535544 0x200100 ftriangleCMD     0x427c0800
WREG_L           535591 0x000110 fbzMode          0x000b4379
WREG_L           535693 0x000088 fvertexAx        0x49400d27
WREG_L           535693 0x000090 fvertexBx        0x49400d27
WREG_L           535693 0x000094 fvertexBy        0x49400fe4
WREG_L           535693 0x000098 fvertexCx        0x49400d5f
WREG_L           535809 0x00008c fvertexAy        0x49400fd4
WREG_L           535809 0x00009c fvertexCy        0x49400ff6
WREG_L           535882 0x2000a0 fstartR          0x42ba70d9 (93.220406)
WREG_L           535916 0x2000ac fstartG          0x42ba70d9 (93.220406)
WREG_L           535950 0x2000b8 fstartB          0x42ba70d9 (93.220406)
WREG_L           535984 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           536018 0x2000dc fstartS          0x3d765df1 (0.060148)
WREG_L           536052 0x2000e8 fstartT          0x3dc1ad48 (0.094569)
WREG_L           536086 0x2000f4 fstartW          0x3a7a81b3 (0.000956)
WTEX_L           536120 0xe20000 0x00000000
WREG_L           536161 0x0000b0 fstartA          0x00000000
WREG_L           536161 0x0000d0 fdAdX            0xc31ad24a
WREG_L           536161 0x0000f0 fdAdY            0x437f0000
WREG_L           536161 0x000080 triangleCMD      0xc0600000
WREG_L           536299 0x00008c fvertexAy        0x49400fe4
WREG_L           536299 0x000090 fvertexBx        0x49400d5f
WREG_L           536299 0x000094 fvertexBy        0x49400ff6
WREG_L           536354 0x00009c fvertexCy        0x49401006
WREG_L           536395 0x2000a0 fstartR          0x42ba70d9 (93.220406)
WREG_L           536429 0x2000ac fstartG          0x42ba70d9 (93.220406)
WREG_L           536463 0x2000b8 fstartB          0x42ba70d9 (93.220406)
WREG_L           536497 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L           536531 0x2000dc fstartS          0x3d765df1 (0.060148)
WREG_L           536565 0x2000e8 fstartT          0x3dc1ad48 (0.094569)
WREG_L           536599 0x2000f4 fstartW          0x3a7a81b3 (0.000956)
WTEX_L           536633 0xe20000 0x00000000
WREG_L           536674 0x0000f0 fdAdY            0x437f0000
WREG_L           536674 0x0000d0 fdAdX            0xc31ad24a
WREG_L           536674 0x000080 triangleCMD      0x40600000
WREG_L           536787 0x000110 fbzMode          0x000b4779
WREG_L           537147-      542317 0x00010c alphaMode        0x00045110 x11
WREG_L           542447 0x200088 fvertexAx        0x49400dfc (786655.750000)
WREG_L           542522 0x20008c fvertexAy        0x49400f37 (786675.437500)
WREG_L           542522 0x200090 fvertexBx        0x49400da4 (786650.250000)
WREG_L           542522 0x200094 fvertexBy        0x49401023 (786690.187500)
WREG_L           542522 0x200098 fvertexCx        0x49400d9f (786649.937500)
WREG_L           542522 0x20009c fvertexCy        0x49401051 (786693.062500)
WREG_L           542579 0x2000a0 fstartR          0x42208947 (40.134060)
WREG_L           542601 0x2000a4 fdRdX            0xc1cf1951 (-25.887362)
WREG_L           542601 0x2000a8 fdRdY            0xc112f69d (-9.185208)
WREG_L           542626 0x2000ac fstartG          0x42208947 (40.134060)
WREG_L           542648 0x2000b0 fdGdX            0xc1cf1951 (-25.887362)
WREG_L           542648 0x2000b4 fdGdY            0xc112f69d (-9.185208)
WREG_L           542673 0x2000b8 fstartB          0x42208947 (40.134060)
WREG_L           542695 0x2000bc fdBdX            0xc1cf1951 (-25.887362)
WREG_L           542695 0x2000c0 fdBdY            0xc112f69d (-9.185208)
WREG_L           542720 0x2000d0 fstartA          0x437f0000 (255.000000)
