# Voodoo Trace - Frame 49
# Format: <CMD> <timestamp> <addr> [register_name] <data> [(float_value)] [xN]
# Fixed-point formats: S12.4 (vertices), S18.14 (RGBA), S20.12 (Z), S14.18 (S/T), S2.30 (W)
#
RREG_L               54 0x000000 status           0x1f89b3bf
WREG_L             3541 0x2000bc fdBdX            0xbc1ea8ff (-0.009684)
WREG_L             3541 0x2000c0 fdBdY            0x3c1f72fb (0.009732)
WREG_L             3566 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L             3609 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L             3609 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L             3634 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L             3677 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L             3677 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L             3705 0xe20000 0x00000000
WREG_L             3743 0x200100 ftriangleCMD     0xc4ffefa0
WREG_L             3790-        3832 0x000110 fbzMode          0x000b4379 x2
WREG_L             4189 0x00010c alphaMode        0x00045110
WREG_L             4309 0x200088 fvertexAx        0x49400a19 (786593.562500)
WREG_L             4384 0x20008c fvertexAy        0x49400f5f (786677.937500)
WREG_L             4384 0x200090 fvertexBx        0x494007e5 (786558.312500)
WREG_L             4384 0x200094 fvertexBy        0x4940117f (786711.937500)
WREG_L             4384 0x200098 fvertexCx        0x49400b52 (786613.125000)
WREG_L             4384 0x20009c fvertexCy        0x49401198 (786713.500000)
WREG_L             4441 0x2000a0 fstartR          0x4348dd7b (200.865158)
WREG_L             4463 0x2000a4 fdRdX            0xbc5fc685 (-0.013658)
WREG_L             4463 0x2000a8 fdRdY            0x3c76340f (0.015027)
WREG_L             4488 0x2000ac fstartG          0x4348dd7b (200.865158)
WREG_L             4510 0x2000b0 fdGdX            0xbc5fc685 (-0.013658)
WREG_L             4510 0x2000b4 fdGdY            0x3c76340f (0.015027)
WREG_L             4535 0x2000b8 fstartB          0x4348dd7b (200.865158)
WREG_L             4557 0x2000bc fdBdX            0xbc5fc685 (-0.013658)
WREG_L             4557 0x2000c0 fdBdY            0x3c76340f (0.015027)
WREG_L             4582 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L             4625 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L             4625 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L             4650 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L             4693 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L             4693 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L             4721 0xe20000 0x00000000
WREG_L             4759 0x200100 ftriangleCMD     0xc4efd680
WREG_L             4806-        4848 0x000110 fbzMode          0x000b4379 x2
WREG_L             5205 0x00010c alphaMode        0x00045110
WREG_L             5326 0x200088 fvertexAx        0x49400c68 (786630.500000)
WREG_L             5401 0x20008c fvertexAy        0x494012a0 (786730.000000)
WREG_L             5401 0x200090 fvertexBx        0x49400e9c (786665.750000)
WREG_L             5401 0x200094 fvertexBy        0x49401375 (786743.312500)
WREG_L             5401 0x200098 fvertexCx        0x49400c01 (786624.062500)
WREG_L             5401 0x20009c fvertexCy        0x49401506 (786768.375000)
WREG_L             5458 0x2000a0 fstartR          0x4348423d (200.258743)
WREG_L             5480 0x2000a4 fdRdX            0xbc5f03a5 (-0.013612)
WREG_L             5480 0x2000a8 fdRdY            0x3cdc4a89 (0.026891)
WREG_L             5505 0x2000ac fstartG          0x4348423d (200.258743)
WREG_L             5527 0x2000b0 fdGdX            0xbc5f03a5 (-0.013612)
WREG_L             5527 0x2000b4 fdGdY            0x3cdc4a89 (0.026891)
WREG_L             5552 0x2000b8 fstartB          0x4348423d (200.258743)
WREG_L             5574 0x2000bc fdBdX            0xbc5f03a5 (-0.013612)
WREG_L             5574 0x2000c0 fdBdY            0x3cdc4a89 (0.026891)
WREG_L             5599 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L             5642 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L             5642 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L             5667 0x2000f4 fstartW          0x3a4726b0 (0.000760)
WREG_L             5710 0x2000f8 fdWdX            0xab8ebc0e (-0.000000)
WREG_L             5710 0x2000fc fdWdY            0xabed6a98 (-0.000000)
WTEX_L             5738 0xe20000 0x00000000
WREG_L             5776 0x200100 ftriangleCMD     0x44b3cd60
WREG_L             5823-        5865 0x000110 fbzMode          0x000b4379 x2
WREG_L             6222 0x00010c alphaMode        0x00045110
WREG_L             6344 0x200088 fvertexAx        0x49401a22 (786850.125000)
WREG_L             6419 0x20008c fvertexAy        0x494009a1 (786586.062500)
WREG_L             6419 0x200090 fvertexBx        0x49401655 (786789.312500)
WREG_L             6419 0x200094 fvertexBy        0x49400b2b (786610.687500)
WREG_L             6419 0x200098 fvertexCx        0x4940195e (786837.875000)
WREG_L             6419 0x20009c fvertexCy        0x49400bf4 (786623.250000)
WREG_L             6476 0x2000a0 fstartR          0x43488176 (200.505707)
WREG_L             6498 0x2000a4 fdRdX            0xbc13c729 (-0.009020)
WREG_L             6498 0x2000a8 fdRdY            0x3cb52ecc (0.022117)
WREG_L             6523 0x2000ac fstartG          0x43488176 (200.505707)
WREG_L             6545 0x2000b0 fdGdX            0xbc13c729 (-0.009020)
WREG_L             6545 0x2000b4 fdGdY            0x3cb52ecc (0.022117)
WREG_L             6570 0x2000b8 fstartB          0x43488176 (200.505707)
WREG_L             6592 0x2000bc fdBdX            0xbc13c729 (-0.009020)
WREG_L             6592 0x2000c0 fdBdY            0x3cb52ecc (0.022117)
WREG_L             6617 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L             6660 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L             6660 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L             6685 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L             6728 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L             6728 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L             6756 0xe20000 0x00000000
WREG_L             6794 0x200100 ftriangleCMD     0xc4f4f9e0
WREG_L             6841-        6883 0x000110 fbzMode          0x000b4379 x2
WREG_L             7240 0x00010c alphaMode        0x00045110
WREG_L             7362 0x200088 fvertexAx        0x494018b6 (786827.375000)
WREG_L             7437 0x20008c fvertexAy        0x4940123e (786723.875000)
WREG_L             7437 0x200090 fvertexBx        0x49401561 (786774.062500)
WREG_L             7437 0x200094 fvertexBy        0x494012b0 (786731.000000)
WREG_L             7437 0x200098 fvertexCx        0x494018eb (786830.687500)
WREG_L             7437 0x20009c fvertexCy        0x494014f9 (786767.562500)
WREG_L             7494 0x2000a0 fstartR          0x43486b65 (200.419510)
WREG_L             7516 0x2000a4 fdRdX            0x3b76b499 (0.003764)
